rowcode	rnum
1	403216
2	981434
3	337375
4	179185
5	249761
6	296910
7	204993
8	612756
9	194577
10	219026
11	596794
12	273254
13	783274
14	599851
15	839228
16	919183
17	293412
18	689143
19	204824
20	442894
21	503532
22	784690
23	397319
24	141717
25	229758
26	422270
27	846106
28	80790
29	154408
30	561325
31	78446
32	753003
33	13749
34	128454
35	846337
36	996995
37	168665
38	117346
39	536422
40	515990
41	672781
42	962562
43	959541
44	117294
45	565419
46	843304
47	137108
48	389452
49	376774
50	515482
51	514495
52	539235
53	60291
54	584242
55	112799
56	301739
57	566056
58	23430
59	446666
60	832594
61	385942
62	591334
63	542968
64	847553
65	254897
66	540187
67	649072
68	997874
69	860383
70	64604
71	336616
72	52918
73	277516
74	137147
75	533288
76	455448
77	255494
78	211794
79	514368
80	410962
81	115277
82	741368
83	306142
84	786382
85	603949
86	29193
87	523167
88	196931
89	593541
90	264149
91	290724
92	378484
93	933158
94	960527
95	565567
96	522282
97	851677
98	110045
99	795795
100	796217
101	235408
102	938245
103	819226
104	414410
105	490977
106	912748
107	65714
108	451955
109	70905
110	266283
111	534577
112	426589
113	274708
114	516401
115	834999
116	107226
117	490518
118	724248
119	968254
120	982206
121	479360
122	848576
123	940627
124	609511
125	608585
126	452930
127	275751
128	76236
129	445292
130	90894
131	502290
132	808934
133	915865
134	996915
135	355879
136	861487
137	376598
138	245374
139	600927
140	835240
141	666153
142	771056
143	762420
144	993153
145	923034
146	724207
147	756092
148	93896
149	487917
150	913485
151	129968
152	103642
153	688018
154	502642
155	648417
156	844884
157	487490
158	578498
159	838181
160	402748
161	667116
162	339635
163	23278
164	265128
165	476656
166	78270
167	612700
168	407232
169	522720
170	197737
171	750793
172	97889
173	183688
174	602968
175	519750
176	241643
177	607839
178	996636
179	806690
180	247913
181	121090
182	503359
183	579444
184	389165
185	534996
186	191210
187	50916
188	809689
189	471938
190	604019
191	991595
192	62529
193	1300
194	833396
195	133393
196	303192
197	564675
198	367158
199	407491
200	894407
201	398179
202	268421
203	860117
204	418138
205	445688
206	804777
207	825559
208	731191
209	504237
210	409020
211	477178
212	554631
213	856788
214	117434
215	192767
216	349758
217	805633
218	607772
219	29247
220	774019
221	697642
222	705119
223	87360
224	982340
225	22696
226	494431
227	643616
228	726683
229	716986
230	668662
231	128747
232	273
233	62984
234	827029
235	877624
236	557879
237	885717
238	781018
239	498506
240	795952
241	94299
242	408845
243	478906
244	489731
245	253149
246	189406
247	26194
248	311093
249	379140
250	337753
251	387793
252	201874
253	242027
254	978452
255	958455
256	344022
257	888346
258	714415
259	639122
260	557836
261	378673
262	221028
263	415278
264	243302
265	195311
266	888723
267	672273
268	2999
269	447716
270	947738
271	914129
272	580223
273	786724
274	125806
275	359312
276	379776
277	777502
278	652668
279	741238
280	950067
281	695332
282	30780
283	506238
284	772782
285	48155
286	494931
287	627692
288	6695
289	542397
290	501758
291	279273
292	146774
293	168366
294	918428
295	981881
296	206442
297	678389
298	395388
299	535362
300	495722
301	114082
302	643379
303	703740
304	366002
305	654738
306	211291
307	828222
308	511728
309	40277
310	376951
311	682497
312	356986
313	884928
314	419839
315	877258
316	441132
317	934063
318	693020
319	483169
320	784140
321	215681
322	204755
323	382553
324	288967
325	226181
326	331605
327	702681
328	784261
329	914904
330	380520
331	409622
332	252679
333	549980
334	701326
335	580984
336	515639
337	251345
338	803728
339	208402
340	384546
341	147906
342	652571
343	288940
344	615347
345	358903
346	356520
347	362790
348	280213
349	826067
350	383989
351	446298
352	617016
353	329806
354	149308
355	422164
356	497978
357	635698
358	9702
359	660795
360	701655
361	390425
362	564175
363	415223
364	964096
365	73405
366	758040
367	999130
368	555647
369	803934
370	551520
371	364068
372	778676
373	981279
374	743227
375	369731
376	365884
377	957358
378	157180
379	414126
380	899219
381	883213
382	534003
383	16824
384	622483
385	289872
386	601403
387	655688
388	889504
389	487608
390	492505
391	626112
392	819051
393	367101
394	680754
395	782568
396	367478
397	537979
398	404253
399	533566
400	618359
401	826816
402	970919
403	349443
404	474656
405	89122
406	873807
407	829296
408	731065
409	66284
410	253514
411	162070
412	607860
413	128441
414	349856
415	662292
416	655169
417	395364
418	320901
419	16876
420	842423
421	965967
422	762185
423	250607
424	512051
425	399395
426	576488
427	671422
428	352520
429	528531
430	851259
431	476500
432	867116
433	697139
434	273561
435	201377
436	315272
437	287751
438	97954
439	269370
440	994745
441	311389
442	418505
443	960196
444	784277
445	956494
446	309326
447	484442
448	691112
449	695312
450	305315
451	516580
452	373310
453	604947
454	908056
455	859737
456	178161
457	2532
458	636359
459	865584
460	974418
461	791698
462	888325
463	15193
464	882943
465	824689
466	477235
467	553959
468	834989
469	202077
470	733401
471	636379
472	449589
473	979591
474	853321
475	533366
476	53101
477	743433
478	421920
479	983194
480	121925
481	191833
482	117111
483	568545
484	795890
485	239074
486	265809
487	60871
488	292059
489	15153
490	754540
491	369069
492	415226
493	726249
494	824388
495	556979
496	683572
497	652259
498	529533
499	813350
500	338209
501	336173
502	185642
503	145176
504	543646
505	642048
506	57593
507	461989
508	863397
509	995593
510	217187
511	405975
512	576246
513	615730
514	97157
515	61146
516	253365
517	905
518	214604
519	437301
520	22868
521	344157
522	864617
523	423516
524	729003
525	760885
526	585961
527	894132
528	289869
529	229631
530	999555
531	604638
532	836090
533	961637
534	438845
535	537659
536	160622
537	850468
538	67611
539	903140
540	795600
541	928941
542	888573
543	995150
544	560727
545	521875
546	615738
547	324691
548	133691
549	814391
550	869498
551	737314
552	387376
553	670088
554	448414
555	46156
556	692930
557	5530
558	732820
559	250433
560	723721
561	466096
562	785287
563	533152
564	806377
565	708419
566	765121
567	855042
568	392382
569	671690
570	87761
571	840702
572	932390
573	127381
574	245858
575	796711
576	520538
577	382407
578	831464
579	801630
580	914411
581	134915
582	220443
583	60740
584	840803
585	871912
586	466625
587	321259
588	401610
589	484938
590	917986
591	82663
592	573477
593	176393
594	39416
595	893635
596	820713
597	617589
598	945415
599	107248
600	356514
601	911473
602	952294
603	489811
604	567865
605	330320
606	198683
607	677563
608	339993
609	664807
610	172793
611	303515
612	583812
613	423549
614	648632
615	949089
616	379554
617	154901
618	984598
619	560710
620	731491
621	629746
622	973527
623	669160
624	76069
625	476444
626	514105
627	130436
628	653905
629	490566
630	775250
631	53928
632	918974
633	869940
634	108456
635	18217
636	385476
637	992403
638	777487
639	358225
640	371137
641	760076
642	178132
643	777417
644	443562
645	726688
646	133772
647	762649
648	266511
649	62981
650	619275
651	63262
652	356629
653	852701
654	705192
655	237380
656	135287
657	130720
658	731802
659	201102
660	272502
661	469294
662	561274
